         4210327 function calls (4155037 primitive calls) in 4.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    0.001    0.000    0.006    0.000 nanfunctions.py:1427(nanvar)
        2    0.001    0.001    0.001    0.001 core.py:3433(__setmask__)
      110    0.001    0.000    0.002    0.000 linalg.py:313(solve)
     1168    0.001    0.000    0.003    0.000 __init__.py:2067(dist_factory)
     8293    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
1232/1017    0.001    0.000    0.002    0.000 typing.py:932(__hash__)
      993    0.001    0.000    0.003    0.000 font_manager.py:968(_json_decode)
     2179    0.001    0.000    0.001    0.000 {method 'indices' of 'slice' objects}
      990    0.001    0.000    0.001    0.000 _arraytools.py:7(axis_slice)
     1008    0.001    0.000    0.017    0.000 module.py:213(__next__)
     4270    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     5029    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     2612    0.001    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
      678    0.001    0.000    0.001    0.000 contextlib.py:86(__init__)
     1314    0.001    0.000    0.036    0.000 clouds.py:57(get_indexes)
     1774    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(atleast_1d)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
       85    0.001    0.000    0.010    0.000 variables.py:179(decode)
     1143    0.001    0.000    0.001    0.000 templates.py:1122(register_global)
     2096    0.001    0.000    0.001    0.000 _virtualenv.py:54(find_spec)
      221    0.001    0.000    0.003    0.000 _ni_support.py:73(_get_output)
      131    0.001    0.000    0.058    0.000 pycompat.py:19(__init__)
      764    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      561    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
     6502    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1154    0.001    0.000    0.001    0.000 variable.py:168(_maybe_wrap_data)
      407    0.001    0.000    0.002    0.000 enum.py:977(__and__)
     1690    0.001    0.000    0.001    0.000 functools.py:65(wraps)
       71    0.001    0.000    0.001    0.000 enum.py:221(<setcomp>)
     4552    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     4078    0.001    0.000    0.002    0.000 templates.py:1186(new_registrations)
      221    0.001    0.000    0.001    0.000 {built-in method scipy.ndimage._nd_image.uniform_filter1d}
     2072    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:811(find_spec)
      471    0.001    0.000    0.002    0.000 numerictypes.py:358(issubdtype)
      683    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
     2463    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
       89    0.001    0.000    0.008    0.000 metadata.py:508(read_text)
      357    0.001    0.000    0.010    0.000 pathlib.py:1450(is_file)
     6746    0.001    0.000    0.001    0.000 event.py:92(kind)
      679    0.001    0.000    0.002    0.000 typing.py:218(_deduplicate)
      277    0.001    0.000    0.002    0.000 indexing.py:229(__init__)
      240    0.001    0.000    0.002    0.000 colors.py:195(_to_rgba_no_colorcycle)
     3662    0.001    0.000    0.003    0.000 version.py:82(__eq__)
      385    0.001    0.000    0.002    0.000 pathlib.py:1098(_make_child_relpath)
      942    0.001    0.000    0.001    0.000 numerictypes.py:284(issubclass_)
     1056    0.001    0.000    0.016    0.000 version.py:48(parse)
